source,title,company,location,country,remote_type,url,primary_track,fit_score,matched_skills,missing_skills,salary_min,salary_max,currency,seniority_estimate,link_status,link_status_code
adzuna,Cloud & Security Engineer in Den Bosch,JAM,"'s-Hertogenbosch, Noord-Brabant",nl,,https://www.adzuna.nl/land/ad/5768239130?se=7Mhzp7ts8RGrKszqFbIEfQ&utm_medium=api&utm_source=76293b30&v=72926B0B8F02511B8A48175A476E486A3EC76E26,platform_engineering,37.5,Kubernetes,Security; AI,48000.0,72000.0,,unknown,unknown,403
arbeitnow,Ground Control Station Software Engineer - N3XT Interceptor C‑UAS (m/f/d),Quantum- Systems GmbH,Gilching,,,https://www.arbeitnow.com/jobs/companies/quantum-systems-gmbh/ground-control-station-software-engineer-n3xt-interceptor-cuas-gilching-466898,backend_cloud,37.5,TypeScript; Python; Git; Agile,Observability; Security; AI; CI/CD,,,,unknown,accessible,200
arbeitnow,AI Agent Engineer (m/w/d),TEQWERK GmbH,Brannenburg,,remote,https://www.arbeitnow.com/jobs/companies/teqwerk-gmbh/ai-agent-engineer-brannenburg-27441,ai_engineering,37.5,Python; JavaScript,LLM; AI,,,,unknown,accessible,200
arbeitnow,Senior Data Platform Engineer,SumUp,"Berlin, Berlin, Germany",,,https://www.arbeitnow.com/jobs/companies/sumup/senior-data-platform-engineer-berlin-374999,data_engineering,33.3,Kubernetes; Python; Docker,Airflow; Terraform; dbt; Kafka; AI,,,,senior,accessible,200
arbeitnow,Senior Softwareentwickler Testsysteme (m/w/x) für Funkkommunikationssysteme,K-tronik GmbH,Berlin,,,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/senior-softwareentwickler-testsysteme-fur-funkkommunikationssysteme-berlin-269448,backend_cloud,33.3,Git,CI/CD,,,,senior,accessible,200
adzuna,AI / LLM Engineer,"cyberThink, Inc.",US,us,,https://www.adzuna.com/land/ad/5765673550?se=8rFNmLts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=6C5EFE81E79BFEC8FE07DA4C05AF1290A71EC0CF,ai_engineering,28.6,Python,LLM; AI,102961.7,102961.7,,unknown,unknown,403
arbeitnow,Founding Engineer Applied AI Engineering & Full-Stack (d/f/m),Sikia.ai,Berlin,,,https://www.arbeitnow.com/jobs/companies/sikiaai/founding-engineer-applied-ai-engineering-full-stack-berlin-351958,ai_engineering,28.6,Python,LLM; AI,,,,unknown,accessible,200
arbeitnow,Senior Enterprise Solution Architect,Cyber Insight GmbH,Leipzig,,,https://www.arbeitnow.com/jobs/companies/cyber-insight-gmbh/senior-enterprise-solution-architect-leipzig-132300,cloud_security,26.9,Kubernetes; Python; Docker,LLM; Terraform; RAG; Observability; Security; AI; CI/CD,,,,senior,accessible,200
arbeitnow,Working Student IT System Administrator (f/m/d),PlantaCorp GmbH,Hamburg,,,https://www.arbeitnow.com/jobs/companies/plantacorp-gmbh/working-student-it-system-administrator-hamburg-330803,backend_cloud,25.0,Python,Security; Observability,,,,manager,accessible,200
adzuna,AI & Generative AI Developer (Python & Azure),STAFIDE,Nederland,nl,,https://www.adzuna.nl/details/5765742045?utm_medium=api&utm_source=76293b30,ai_engineering,16.7,Python,LLM; RAG; AI; REST APIs,,,,unknown,accessible,200
arbeitnow,Blockchain Developer - Base,Spoon,Berlin,,remote,https://www.arbeitnow.com/jobs/companies/spoon/blockchain-developer-base-berlin-449610,backend_cloud,16.7,JavaScript,Security; AI,,,,manager,accessible,200
